"causa_numero","juez_fuero","juez_nombre","juez_apellido","causa_fecha","causa_modo_de_culminación","fallo_link_documento"
1,"Juzgado Federal en lo Criminal y Correccional de Morón","Raquel Susana","Morris Dloogatz",1999-11-26,"Renunció antes del juicio",
2,"Juzgado Correccional de la 7ma. Nominación de Santa Fe","Víctor Hermes"," Brusa",2000-03-30,"Destituido","https://www.pjn.gov.ar/02_Central/ViewDoc.Asp?Doc=6915&CI=INDEX100"
3,"Juzgado Federal N° 1 de la Ciudad de Córdoba","Ricardo","Bustos Fierro",2000-04-26,"Destitución rechazada","https://www.pjn.gov.ar/02_Central/ViewDoc.Asp?Doc=6914&CI=INDEX100"
4,"Juzgado Nacional en lo Correccional de la Capital Federal N° 9.","Luis Juan","Torres",2000-09-20,"Renunció antes del juicio",
5,"Juzgado Nacional en lo Criminal y Correccional Federal N° 3 de
la Capital Federal. Juzgado Nacional en lo Criminal y Correccional Federal N° 3 de
la Capital Federal. Juzgado Nacional en lo Criminal y Correccional Federal N° 3 de
la Capital Federal. ","Carlos Daniel","Liporaci",2001-02-27,"Renunció antes del juicio",
6,"Juzgado Federal N° 1 de la Ciudad de Mendoza","Luis Alberto"," Leiva",2002-05-09,"Destituido","https://www.pjn.gov.ar/02_Central/ViewDoc.Asp?Doc=6913&CI=INDEX100"
7,"Juzgado Nacional de Primera Instancia del Trabajo N° 37","Mirta Carmen "," Torres Nieto",2002-05-30,"Destituido","https://www.pjn.gov.ar/02_Central/ViewDoc.Asp?Doc=6912&CI=INDEX100"
8,"Juzgado Nacional en lo Criminal de Instrucción N° 26","Roberto Enrique"," Murature",2003-09-29,"Destituido","https://www.pjn.gov.ar/02_Central/ViewDoc.Asp?Doc=6911&CI=INDEX100"
9,"Cámara Federal de Apelaciones de Salta","Ricardo "," Lona",2004-02-18,"Destitución rechazada","https://www.pjn.gov.ar/02_Central/ViewDoc.Asp?Doc=6910&CI=INDEX100"
10,"Juzgado Criminal y Correccional Federal N° 1","Roberto José "," Marquevich",2004-06-08,"Destituido","https://www.pjn.gov.ar/02_Central/ViewDoc.Asp?Doc=6909&CI=INDEX100"
11,"Juzgado Comercial N° 3","Rodolfo Antonio"," Herrera",2005-03-14,"Destituido","https://www.pjn.gov.ar/02_Central/ViewDoc.Asp?Doc=6908&CI=INDEX100"
12,"Tribunal Oral en lo Criminal Federal de Jujuy","Rodolfo Pedro "," Echazú",2005-06-06,"Destituido","https://www.pjn.gov.ar/02_Central/ViewDoc.Asp?Doc=6906&CI=INDEX100"
13,"Juzgado de Ejecución Penal N° 3","Néstor Andrés "," Narizzano",2005-05-30,"Destituido","https://www.pjn.gov.ar/02_Central/ViewDoc.Asp?Doc=6907&CI=INDEX100"
